company_name,Annual Sales:,Company Type:,Corporate Family:,Corporate Highlights,D-U-N-S Number,D-U-N-S Number:,Domestic Ultimate D-U-N-S Number,EIN,Employees:,Fax:,Fiscal Year End:,Franchise,Home-Based Business,Import/Export Status,Incorporation Date,Industry:,Key ID Number:,LEI Number:,Manufacturer,Minority Owned,Owns/Rents,Parent D-U-N-S Number,Parent:,Plant/Facility Size (sq,Prescreen Score,Reporting Currency:,State Of Incorporation,Tel:,Total Assets:,Tradestyle,Ultimate Parent D-U-N-S Number,Ultimate Parent:,Women Owned,_id,address,contact,website
Calwide Properties,649k,Private Independent,,, 785210972,78-521-0972,,,5 (This Site) 5 (All Sites),,,,,, 1982,Investment Services,91735560,,, True,,,,"{u' ft': {u')': u' 3,035'}}",,USD,,916-489-2405,,,,, True,5aaca1c49f9f5d3e6a0ead18,"3109 Kadema Dr
Sacramento, California, 95864-6924
United States
(Primary Address) Show Secondary","[[{u'position': u'Owner at Calwide Properties', u'industry': u'Investment Services', u'Main': u' 916-489-2405', u'name': u'Lou Baron', u'location': u'Sacramento, California, United States'}]]",
"Jack Frost Design, Inc.",,Private Branch,2 Companies,, 963614560,96-361-4560, 114875813,,5 (This Site),,,,,,,Computer Programming,125955272,,,,, 114875813,"Jack Frost Design, Inc.","{u' ft': {u')': u' 4,783'}}",,,,925-551-0162,,, 114875813,, True,5aaca1da9f9f5d3e6a0ead19,"3841 N Freeway Blvd Ste 290
Sacramento, California, 95834-1970
United States","[[{u'position': u'MAJOR ACCOUNTS MANAGER at Jack Frost Design, Inc.', u'industry': u'Computer Programming', u'Main': u' 925-551-0162', u'name': u'Keith Duronslet', u'location': u'Sacramento, California, United States'}], [{u'position': u'Events Manager at Jack Frost Design, Inc.', u'industry': u'Computer Programming', u'Main': u' 925-551-0162', u'name': u'Beth Larkins', u'location': u'Sacramento, California, United States'}]]",www.jackfrostdesign.com
Post Modern Marketing,246k,Private Independent,,, 053622802,05-362-2802,,,5 (This Site) 5 (All Sites),,,,,, 2010,Computer Programming,180077272,,,,,,,"{u' ft': {u')': u' 3,143'}}",,USD, California,916-572-7678,,,,,,5aaca1f39f9f5d3e6a0ead1a,"1016 23Rd St Ste 250
Sacramento, California, 95816-4960
United States","[[{u'name': u'Chris Post', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Chief Executive Officer at Post Modern Marketing', u'Main': u' 916-572-7678', u'Email': u' cpost@postmm.com'}], [{u'name': u'John Nesler', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Lead Writer and Researcher at Post Modern Marketing', u'Main': u' 916-572-7678', u'Email': u' john@postmm.com'}], [{u'name': u'Josh Rubin', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Ch_mem, comt at Post Modern Marketing', u'Main': u' 916-572-7678', u'Email': u' josh@postmm.com'}]]",www.postmm.com
"Swipefin, Inc.",204k,Private Independent,,, 079352572,07-935-2572,,,5 (This Site) 5 (All Sites),,,,,, 2013,Computer Programming,181355811,,,,,,,"{u' ft': {u')': u' 3,143'}}",,USD,,916-877-5678,,,,,,5aaca20e9f9f5d3e6a0ead1b,"1210 G St
Sacramento, California, 95814-1516
United States",,
"George Little Investments, Inc.",466k,Private Independent,,, 019150885,01-915-0885,, 942228754,5 (This Site) 5 (All Sites),,,,,, 2008,Investment Services,181645158,,,,,,,"{u' ft': {u')': u' 3,595'}}",,USD, California,916-648-2580,,,,,,5aaca2269f9f5d3e6a0ead1c,"4125 Winters St
Sacramento, California, 95838-3119
United States","[[{u'position': u'Principal at George Little Investments, Inc.', u'industry': u'Investment Services', u'Main': u' 916-648-2580', u'name': u'George Little', u'location': u'Sacramento, California, United States'}]]",
"Fetros Software Solutions, Inc.",384k,Private Independent,,, 006815945,00-681-5945,,,5 (This Site) 5 (All Sites),,,,,, 2009,Computer Programming,185621250,,,,,,,"{u' ft': {u')': u' 3,143'}}",,USD, California,,,,,,,5aaca2419f9f5d3e6a0ead1d,"7639 Kavooras Dr
Sacramento, California, 95831-4205
United States",,
Kore Innovations Inc.,310k,Private Independent,,, 045888934,04-588-8934,,,5 (This Site) 5 (All Sites),,,,,, 2011,Computer Programming,179098096,,,,,,,"{u' ft': {u')': u' 3,143'}}",,USD, California,855-336-9900,,,,,,5aaca25a9f9f5d3e6a0ead1e,"1931 H St
Sacramento, California, 95811-3107
United States","[[{u'name': u'Noah Lively', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Founder at Kore Innovations Inc.', u'Main': u' 855-336-9900', u'Email': u' noah@koremedia.net'}], [{u'name': u'Kailey Lively', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Graphic Designer at Kore Innovations Inc.', u'Main': u' 855-336-9900', u'Email': u' kailey@koremedia.net'}]]",www.koremedia.net
Kobasic Enterprises,430k,Private Independent,,, 070318316,07-031-8316,, 942496058,5 (This Site) 5 (All Sites),916-447-2818,,,,, 1969,Internet and Web Services,135209604,,,,,,,"{u' ft': {u')': u' 5,000'}}",,USD, California,916-447-2814,," Kobasic Hall, Vehicle Operator Searchers",,,,5aaca2759f9f5d3e6a0ead1f,"5324 Riverside Blvd
Sacramento, California, 95822-1716
United States","[[{u'position': u'President at Kobasic Enterprises', u'industry': u'Internet and Web Services', u'Main': u' 916-447-2814', u'name': u'Marilyn Kobasic', u'location': u'Sacramento, California, United States'}], [{u'position': u'Vice President at Kobasic Enterprises', u'industry': u'Internet and Web Services', u'Main': u' 916-447-2814', u'name': u'James Kobasic', u'location': u'Sacramento, California, United States'}]]",www.kobasicscandies.com
Citizens Capital Corporation,582k,Private Independent,,, 003446998,00-344-6998,, 870689146,5 (This Site) 5 (All Sites),,,,,, 2003,Investment Services,82341239,,,,,,,"{u' ft': {u')': u' 3,595'}}",,USD,,916-789-9999,,,,,,5aaca2919f9f5d3e6a0ead20,"2740 Fulton Ave Ste 205
Sacramento, California, 95821-5183
United States","[[{u'position': u'President at Citizens Capital Corporation', u'industry': u'Investment Services', u'Main': u' 916-789-9999', u'name': u'Michael W Langford', u'location': u'Sacramento, California, United States'}]]",
USA Premier Repair & Services Inc.,249k,Private Independent,,, 038483380,03-848-3380,,,5 (This Site) 5 (All Sites),,,,,, 2010,Investment Services,142557232,,,,,,,"{u' ft': {u')': u' 3,541'}}",,USD, California,916-338-3811,,,,, True,5aaca2ac9f9f5d3e6a0ead21,"7309 Roseville Rd Ste 1
Sacramento, California, 95842-1657
United States","[[{u'position': u'Chief Operating Officer at USA Premier Repair & Services Inc.', u'industry': u'Investment Services', u'Main': u' 916-338-3811', u'name': u'Mike Kennedy', u'location': u'Sacramento, California, United States'}]]",www.usapremierrepair.com
Alexan International,1M,Private Independent,,, 134667315,13-466-7315,,,5 (This Site) 5 (All Sites),,,,,, 2003,Computer Programming,123689725,,, True, Rents,,,{u' ft': {u')': u' 100'}},,USD,,916-606-8198,,,,,,5aaca2c89f9f5d3e6a0ead22,"915 L St Ste C
Sacramento, California, 95814-3707
United States","[[{u'position': u'President at Alexan International', u'industry': u'Computer Programming', u'Main': u' 916-606-8198', u'name': u'Scott Dittmyer', u'location': u'Sacramento, California, United States'}], [{u'position': u'Owner at Alexan International', u'industry': u'Computer Programming', u'Main': u' 916-606-8198', u'name': u'William Molina', u'location': u'Sacramento, California, United States'}], [{u'name': u'Bharat Patel', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Consulting Manager at Alexan International', u'Main': u' 916-606-8198', u'Email': u' bharat.patel@alexan.com'}], [{u'name': u'Ardy Signey', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'The Manager at Alexan International', u'Main': u' 916-606-8198', u'Email': u' ardy.signey@alexan.com'}], [{u'name': u'Ahmed Salem', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Senior Associate at Alexan International', u'Main': u' 916-606-8198', u'Email': u' asalem@alexan.com'}]]",www.alexan.com
Innovative Automation,275k,Private Independent,,, 619379436,61-937-9436,,,5 (This Site) 5 (All Sites),,,,,, 2006,Computer Programming,121044241,,, True,,,,"{u' ft': {u')': u' 3,096'}}",,USD,,916-392-6136,,,,,,5aaca2e39f9f5d3e6a0ead23,"5558 Rightwood Way
Sacramento, California, 95823-7223
United States",,
"Radian Solutions, LLC",500k,Partnership Parent,3 Companies,, 795462626,79-546-2626,,,4 (This Site) 4 (All Sites),,,,,, 1998,Computer Programming,121037757,,, True,,,,"{u' ft': {u')': u' 2,920'}}",,USD, California,916-717-8714,,,,, True,5aaca2fc9f9f5d3e6a0ead24,"717 K St Ste 403
Sacramento, California, 95814-3408
United States",,www.radiansolutionsllc.com
"River City Investors, LLC",361k,Private Independent,,, 021689291,02-168-9291,,,4 (This Site) 4 (All Sites),,,,,, 2011,Investment Services,196516797,,,,,,,"{u' ft': {u')': u' 3,253'}}",,USD, California,916-379-0955,,,,,,5aaca3149f9f5d3e6a0ead25,"3001 I St Ste 300
Sacramento, California, 95816-4442
United States",,
Visilias Investment Group,97k,Private Independent,,, 019904596,01-990-4596,,,4 (This Site) 4 (All Sites),,,,,, 2016,Investment Services,182699590,,,,,,,"{u' ft': {u')': u' 3,253'}}",,USD,,916-949-4738,,,,,,5aaca32c9f9f5d3e6a0ead26,"7665 Bridge Bay Dr
Sacramento, California, 95831-4227
United States",,www.visilias.com
Neighbors Financial,339k,Private Independent,,, 069561631,06-956-1631,,,4 (This Site) 4 (All Sites),,,,,, 2011,Investment Services,182522284,549300AVD7NXXKI9JB72,,,,,,"{u' ft': {u')': u' 3,253'}}",,USD,,916-732-2340,,,,,,5aaca3469f9f5d3e6a0ead27,"2831 G St Ste 200
Sacramento, California, 95816-3783
United States
(Primary Address) Show Secondary","[[{u'name': u'Bronwyn Arbuckle', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Mortgage Loan Officer at Neighbors Financial', u'Main': u' 916-732-2340', u'Email': u' bronwyn.arbuckle@snmc.com'}]]",www.neighborsfinancial.com
MB Partners,224k,Private Independent,,, 034277926,03-427-7926,,,4 (This Site) 4 (All Sites),,,,,, 1995,Investment Services,105607880,,,,,,,"{u' ft': {u')': u' 3,302'}}",,USD,,916-422-9074,,,,, True,5aaca3619f9f5d3e6a0ead28,"136 Arbusto Cir
Sacramento, California, 95831-4556
United States",,
Lucas Financial Planners Inc,503k,Private Independent,,, 171223878,17-122-3878,,,4 (This Site) 4 (All Sites),,,,,, 1983,Investment Services,83080342,,,,,,,"{u' ft': {u')': u' 1,893'}}",,USD,,916-921-9220,,,,,,5aaca3799f9f5d3e6a0ead29,"1545 River Park Dr Ste 401
Sacramento, California, 95815-4614
United States","[[{u'position': u'Partner and Certified Financial Planner, CRPS at Lucas Financial Planners Inc', u'industry': u'Investment Services', u'Main': u' 916-921-9220', u'name': u'Matt Page', u'location': u'Sacramento, California, United States'}], [{u'position': u'Operations Manager at Lucas Financial Planners Inc', u'industry': u'Investment Services', u'Main': u' 916-921-9220', u'name': u'Terri Beaver', u'location': u'Sacramento, California, United States'}], [{u'position': u'Operations / Marketing at Lucas Financial Planners Inc', u'industry': u'Investment Services', u'Main': u' 916-921-9220', u'name': u'Laura Jobe', u'location': u'Sacramento, California, United States'}], [{u'name': u'Todd Hadley', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Finance at Lucas Financial Planners Inc', u'Main': u' 916-921-9220', u'Email': u' thadley@lucasplanners.com'}]]",www.lucasplanners.com
Wahdy One Financial,183k,Private Independent,,, 077837178,07-783-7178,,,4 (This Site) 4 (All Sites),,,,,, 2015,Investment Services,180164915,,,,,,,"{u' ft': {u')': u' 3,302'}}",,USD, California,916-570-3671,,,,,,5aaca3949f9f5d3e6a0ead2a,"4098 Norris Ave
Sacramento, California, 95821-2848
United States",,
Pala Financial Group Inc,383k,Private Independent,,, 027267588,02-726-7588,,,4 (This Site) 4 (All Sites),,,,,, 2010,Investment Services,187229062,,,,,,,"{u' ft': {u')': u' 3,302'}}",,USD, California,916-485-4375,,,,,,5aaca3ac9f9f5d3e6a0ead2b,"3211 Sierra Oaks Dr
Sacramento, California, 95864-5748
United States","[[{u'position': u'Administrator at Pala Financial Group Inc', u'industry': u'Investment Services', u'Main': u' 916-485-4375', u'name': u'Pete Jensen', u'location': u'Sacramento, California, United States'}]]",
Global Forex Group Inc,289k,Private Independent,,, 604872353,60-487-2353,,,4 (This Site) 4 (All Sites),,,,,, 2005,Computer Programming,192902868,,,,,,,"{u' ft': {u')': u' 2,412'}}",,USD,,916-532-3324,,,,, True,5aaca3c79f9f5d3e6a0ead2c,"5431 Sampson Blvd
Sacramento, California, 95820-5240
United States",,
New Horizons Computer Learning Center Ltd,,Private Branch,17 Companies,, 172200128,17-220-0128, 835671306, 341796609,4 (This Site),,,,,,,Computer Programming,260436584,,,,, 835671306,New Horizons Computer Learning Center Ltd,"{u' ft': {u')': u' 4,249'}}",,,,916-609-4700,, New Horizons Computer Lrng, 835671306,,,5aaca3df9f9f5d3e6a0ead2d,"1750 Creekside Oaks Dr
Sacramento, California, 95833-3640
United States","[[{u'position': u'Operations Manager at New Horizons Computer Learning Center Ltd', u'industry': u'Computer Programming', u'Main': u' 916-609-4700', u'name': u'Margaret Rowland', u'location': u'Sacramento, California, United States'}], [{u'position': u'Account Executive at New Horizons Computer Learning Center Ltd', u'industry': u'Computer Programming', u'Main': u' 916-609-4700', u'name': u'Nolan Podbielski', u'location': u'Sacramento, California, United States'}]]",
"Bellestri Financial, Inc.",318k,Private Independent,,, 013316118,01-331-6118,,,4 (This Site) 4 (All Sites),,,,,, 2010,Investment Services,186049391,,,,,,,"{u' ft': {u')': u' 3,302'}}",,USD, California,916-689-3972,,,,,,5aaca4049f9f5d3e6a0ead2e,"8501 Larchmont Oak Way
Sacramento, California, 95828-6327
United States",,
Open Ride Inc.,30k,Private Independent,,, 080335290,08-033-5290,,,4 (This Site) 4 (All Sites),,,,,, 2015,Computer Programming,180004695,,,,,,,"{u' ft': {u')': u' 2,887'}}",,USD,,415-760-2054,,,,,,5aaca41c9f9f5d3e6a0ead2f,"1809 S St Ste 101-249
Sacramento, California, 95811-6736
United States",,
"Fni International, Inc",256k,Private Branch,3 Companies,, 828054846,82-805-4846, 112814009, 953869297,4 (This Site) 4 (All Sites),,,,,,,Investment Services,193423573,,,,, 112814009,"Fni International, Inc","{u' ft': {u')': u' 3,572'}}",,USD,,916-643-1400,,, 112814009,,,5aaca4359f9f5d3e6a0ead30,"1300 Ethan Way
Sacramento, California, 95825-2211
United States","[[{u'position': u'Insurance Agent at Fni International, Inc', u'industry': u'Investment Services', u'Main': u' 916-643-1400', u'name': u'Robert Taylor', u'location': u'Sacramento, California, United States'}]]",
"Enterprise Information Systems, Inc.",329k,Private Independent,,, 046011751,04-601-1751,, 680354104,4 (This Site) 4 (All Sites),,,,,, 2010,Computer Programming,181117841,,,,,,,"{u' ft': {u')': u' 3,143'}}",,USD,,916-207-5838,,,,,,5aaca44f9f9f5d3e6a0ead31,"7904 Pedrick St
Sacramento, California, 95823-4721
United States
(Primary Address) Show Secondary",,
Spectra Qest America Corp,98k,Private Independent,,, 070133354,07-013-3354,,,4 (This Site) 4 (All Sites),,,,,, 2005,Computer Programming,190369185,,,,,,,"{u' ft': {u')': u' 2,887'}}",,USD,,888-360-8901,,,,,,5aaca4689f9f5d3e6a0ead32,"7801 Folsom Blvd Ste 105
Sacramento, California, 95826-2619
United States",,www.spectraqest.com.au
Capital City Granite,400k,Private Independent,,, 172721040,17-272-1040,,,4 (This Site) 4 (All Sites),,,,,, 2004,Investment Services,83144806,,,,,,,"{u' ft': {u')': u' 3,302'}}",,USD, California,916-397-1463,,,,,,5aaca4849f9f5d3e6a0ead33,"8110 35Th Ave Ste B
Sacramento, California, 95824-2341
United States",,www.capitolcitygranite.com
Loring Inc.,1.1M,Private Independent,,, 079291679,07-929-1679,,,4 (This Site) 4 (All Sites),,,,,, 2014,Computer Programming,137686836,,,,,,,"{u' ft': {u')': u' 2,887'}}",,USD,,916-307-9799,, Loring,,,,5aaca4a29f9f5d3e6a0ead34,"2420 K St Ste 220
Sacramento, California, 95816-5030
United States
(Primary Address) Show Secondary","[[{u'position': u'President at Loring Inc.', u'industry': u'Computer Programming', u'Main': u' 916-307-9799', u'name': u'Brandon Brown', u'location': u'Sacramento, California, United States'}]]",www.weareloring.com
"Bannon Investors, Ltd., LLC",330k,Partnership Independent,,, 964936954,96-493-6954,, 680175739,4 (This Site) 4 (All Sites),,,,,, 2010,Investment Services,131659617,,,,,,,"{u' ft': {u')': u' 3,339'}}",,USD, California,916-978-4890,,,,,,5aaca4bc9f9f5d3e6a0ead35,"2020 W El Camino Ave Ste 120
Sacramento, California, 95833-1871
United States","[[{u'position': u'Finance Director at Bannon Investors, Ltd., LLC', u'industry': u'Investment Services', u'Main': u' 916-978-4890', u'name': u'Scott Nicholas', u'location': u'Sacramento, California, United States'}], [{u'position': u'Mng Mbr at Bannon Investors, Ltd., LLC', u'industry': u'Investment Services', u'Main': u' 916-978-4890', u'name': u'John S Kelly', u'location': u'Sacramento, California, United States'}]]",
Bernardino Roofing,192k,Private Independent,,, 009324603,00-932-4603,,,4 (This Site) 4 (All Sites),,,,,, 2007,Internet and Web Services,93511949,,,,,,,"{u' ft': {u')': u' 2,844'}}",,USD,,916-920-0100,,,,,,5aaca4d79f9f5d3e6a0ead36,"1404 Brewerton Dr Apt 353
Sacramento, California, 95833-4026
United States","[[{u'position': u'Principal at Bernardino Roofing', u'industry': u'Internet and Web Services', u'Main': u' 916-920-0100', u'name': u'Anthony Bernardino', u'location': u'Sacramento, California, United States'}]]",www.bernardinoroofing.com
Next Generation Capital II LLC,257k,Private Independent,,, 079721656,07-972-1656,,,4 (This Site) 4 (All Sites),,,,,, 2015,Investment Services,124963304,,,,,,,"{u' ft': {u')': u' 3,253'}}",,USD,,,,,,,,5aaca4f19f9f5d3e6a0ead37,"1510 J St Ste 140
Sacramento, California, 95814-2098
United States","[[{u'position': u'President at Next Generation Capital II LLC', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'Email': u' dhanly@nextgenerationcapital.us', u'name': u'Donnie Hanly'}], [{u'position': u'Controller at Next Generation Capital II LLC', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'Email': u' tdillon@nextgenerationcapital.us', u'name': u'Terrie Dillon'}]]",www.nextgenerationcapital.us
Lucien Global,183k,Private Independent,,, 090169367,09-016-9367,,,4 (This Site) 4 (All Sites),,,,,, 2015,Investment Services,181483232,,,,,,,"{u' ft': {u')': u' 3,253'}}",,USD,,916-271-3461,,,,,,5aaca50c9f9f5d3e6a0ead38,"5407 Florin Rd
Sacramento, California, 95823-2105
United States",,
Fntp Investment Company LLC,345k,Private Independent,,, 062605105,06-260-5105,,,4 (This Site) 4 (All Sites),,,,,, 2001,Investment Services,189916018,,,, Rents,,,"{u' ft': {u')': u' 2,132'}}",,USD, California,,,,,,,5aaca5259f9f5d3e6a0ead39,"2828 El Centro Rd
Sacramento, California, 95833-9602
United States","[[{u'position': u'Manager at Fntp Investment Company LLC', u'industry': u'Investment Services', u'name': u'Jim Miller', u'location': u'Sacramento, California, United States'}]]",
"Three29 Media, LLC",219k,Private Independent,,, 033460649,03-346-0649,,,4 (This Site) 4 (All Sites),,,,,, 2010,Computer Programming,184632706,,,,,,,"{u' ft': {u')': u' 2,887'}}",,USD, California,916-512-3290,,,,,,5aaca53f9f9f5d3e6a0ead3a,"701 Howe Ave Ste B20
Sacramento, California, 95825-4604
United States","[[{u'name': u'Kevin Howe', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'President & Founder at Three29 Media, LLC', u'Main': u' 916-512-3290', u'Email': u' khowe@three29.com'}], [{u'name': u'Jason Malmberg', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Art Director at Three29 Media, LLC', u'Main': u' 916-512-3290', u'Email': u' jmalmberg@three29.com'}], [{u'name': u'Justin Welenofsky', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Web Developer at Three29 Media, LLC', u'Main': u' 916-512-3290', u'Email': u' jwelenofsky@three29.com'}], [{u'name': u'Vasile Stefirta', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Back-End Developer at Three29 Media, LLC', u'Main': u' 916-512-3290', u'Email': u' vstefirta@three29.com'}], [{u'name': u'Falon Darville', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Digital Producer at Three29 Media, LLC', u'Main': u' 916-512-3290', u'Email': u' fdarville@three29.com'}], [{u'name': u'James Navarro', u'industry': u'Computer Programming', u'location': u'Sacramento, California, United States', u'position': u'Digital Producer at Three29 Media, LLC', u'Main': u' 916-512-3290', u'Email': u' jnavarro@three29.com'}]]",www.three29.com
"Favis, Inc.",100k,Private Independent,,, 079880987,07-988-0987,,,3 (This Site) 3 (All Sites),,,,,, 2013,Computer Programming,180482019,,, True,,,,"{u' ft': {u')': u' 2,588'}}",,USD,,415-299-4162,,,,,,5aaca55c9f9f5d3e6a0ead3b,"4776 Duckhorn Dr
Sacramento, California, 95834-2592
United States",,
Wwgi Computing,126k,Private Independent,,, 040082451,04-008-2451,,,3 (This Site) 3 (All Sites),,,,,, 2010,Computer Programming,99555774,,,,,,,"{u' ft': {u')': u' 2,549'}}",,USD,,916-813-4278,,,,,,5aaca5749f9f5d3e6a0ead3c,"9112 Bramwell Way
Sacramento, California, 95829-1472
United States",,
Decamilla Capital Management,373k,Private Independent,,, 033155743,03-315-5743,,,3 (This Site) 3 (All Sites),,,,,, 1998,Investment Services,91735548,,,, Rents,,,"{u' ft': {u')': u' 1,940'}}",,USD, California,916-979-0870,,,,,,5aaca58c9f9f5d3e6a0ead3d,"3600 American River Dr Ste 230
Sacramento, California, 95864-5997
United States",,www.decamillacapital.com
Ashes Investments LP,242k,Private Independent,,, 066852456,06-685-2456,,,3 (This Site) 3 (All Sites),,,,,, 2011,Investment Services,190163629,,,,,,,"{u' ft': {u')': u' 2,959'}}",,USD,,,,,,,,5aaca5a59f9f5d3e6a0ead3e,"1748 Berkeley Way
Sacramento, California, 95819-4059
United States",,
Shrync LLC,115k,Private Independent,,, 079536961,07-953-6961,,,3 (This Site) 3 (All Sites),,,,,, 2014,Computer Programming,190935358,,,,,,,"{u' ft': {u')': u' 2,588'}}",,USD, California,916-441-3035,,,,,,5aaca5bd9f9f5d3e6a0ead3f,"2729 I St
Sacramento, California, 95816-4309
United States",,
"Ridge Capital, Inc.",410k,Private Independent,,, 045510556,04-551-0556,,,3 (This Site) 3 (All Sites),,,,,, 2011,Investment Services,124120420,,,,,,,"{u' ft': {u')': u' 2,959'}}",,USD, California,916-527-8020,,,,,,5aaca5d69f9f5d3e6a0ead40,"520 Capitol Mall Ste 380
Sacramento, California, 95814-4714
United States","[[{u'name': u'Michelle Azevedo', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Managing Director at Ridge Capital, Inc.', u'Main': u' 916-527-8020', u'Email': u' michelle.azevedo@ridgecapitalinc.com'}], [{u'name': u'Sandra L Conway', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Controller at Ridge Capital, Inc.', u'Main': u' 916-527-8020', u'Email': u' sandra.conway@ridgecapitalinc.com'}], [{u'name': u'Susan Doris', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Director of Marketing and Asset Management at Ridge Capital, Inc.', u'Main': u' 916-527-8020', u'Email': u' susan.doris@ridgecapitalinc.com'}], [{u'name': u'Joseph Kozina', u'industry': u'Investment Services', u'location': u'Sacramento, California, United States', u'position': u'Real Estate Analyst at Ridge Capital, Inc.', u'Main': u' 916-527-8020', u'Email': u' joseph.kozina@ridgecapitalinc.com'}]]",www.ridgecapitalinc.com
Pyramid Investments,230k,Private Independent,,, 004692148,00-469-2148,,,3 (This Site) 3 (All Sites),,,,,, 2009,Investment Services,124160079,,,,,,,"{u' ft': {u')': u' 2,915'}}",,USD,,916-443-3885,,,,,,5aaca5f19f9f5d3e6a0ead41,"1501 W St
Sacramento, California, 95818-1526
United States",,
Tera Investments Inc,409k,Private Independent,,, 787780936,78-778-0936,,,3 (This Site) 3 (All Sites),,, True,,, 2006,Investment Services,138540840,,,,,,,"{u' ft': {u')': u' 3,381'}}",,USD,,916-379-9901,," 7-Eleven #39155, Chevron",,,,5aaca60a9f9f5d3e6a0ead42,"5550 S Watt Ave
Sacramento, California, 95826-6405
United States","[[{u'position': u'Owner at Tera Investments Inc', u'industry': u'Investment Services', u'Main': u' 916-379-9901', u'name': u'Bob Uppal', u'location': u'Sacramento, California, United States'}]]",www.7-eleven.com
The Push Muvment,128k,Private Independent,,, 056853076,05-685-3076,,,3 (This Site) 3 (All Sites),,,,,, 2014,Computer Programming,205052801,,,,,,,"{u' ft': {u')': u' 2,588'}}",,USD,,916-475-5361,,,,,,5aaca6269f9f5d3e6a0ead43,"7718 Reenel Way
Sacramento, California, 95832-1004
United States",,
Capitol City Electric,273k,Private Independent,,, 012701310,01-270-1310,,,3 (This Site) 3 (All Sites),,,,,, 2007,Investment Services,195410992,,,,,,,"{u' ft': {u')': u' 2,915'}}",,USD,,916-716-8252,,,,,,5aaca63e9f9f5d3e6a0ead44,"2454 Empress St
Sacramento, California, 95815-3135
United States",,
The Gfl Capital Group Inc,280k,Private Independent,,, 022307489,02-230-7489,,,3 (This Site) 3 (All Sites),,,,,, 2008,Investment Services,177418055,,,, Rents,,,,,USD, California,916-446-7843,,,,,,5aaca6569f9f5d3e6a0ead45,"1215 K St Ste 1700
Sacramento, California, 95814-3954
United States","[[{u'position': u'Branch Manager at The Gfl Capital Group Inc', u'industry': u'Investment Services', u'Main': u' 916-446-7843', u'name': u'Greg Louie', u'location': u'Sacramento, California, United States'}]]",www.gflcapital.com
Powell Properties LP,500k,Partnership Independent,,, 090926155,09-092-6155,,,3 (This Site) 3 (All Sites),,,,,, 1994,Investment Services,105949520,,,,,,,"{u' ft': {u')': u' 2,501'}}",,USD, California,916-456-9839,,,,,,5aaca6719f9f5d3e6a0ead46,"4678 Cabana Way
Sacramento, California, 95822-1239
United States","[[{u'position': u'Partner at Powell Properties LP', u'industry': u'Investment Services', u'Main': u' 916-456-9839', u'name': u'Craig Powell', u'location': u'Sacramento, California, United States'}], [{u'position': u'Manager at Powell Properties LP', u'industry': u'Investment Services', u'Main': u' 916-456-9839', u'name': u'Randy Hartley', u'location': u'Sacramento, California, United States'}]]",www.powellprops.com
Acquisition Alliance,500k,Private Independent,,, 962100892,96-210-0892,,,3 (This Site) 3 (All Sites),,,,,, 2010,Investment Services,183245259,,, True,,,,"{u' ft': {u')': u' 2,959'}}",,USD,,916-361-6505,,,,,,5aaca6969f9f5d3e6a0ead47,"8880 Cal Center Dr Ste 400
Sacramento, California, 95826-3267
United States","[[{u'position': u'Chief Executive Officer at Acquisition Alliance', u'industry': u'Investment Services', u'Main': u' 916-361-6505', u'name': u'Freeman Rudulph', u'location': u'Sacramento, California, United States'}]]",
Security Financial Online,165k,Private Independent,,, 036116901,03-611-6901,,,3 (This Site) 3 (All Sites),,,,,, 2016,Investment Services,231821745,,,,,,,"{u' ft': {u')': u' 2,915'}}",,USD,,916-400-0403,,,,,,5aaca6b19f9f5d3e6a0ead48,"1401 El Camino Ave
Sacramento, California, 95815-2700
United States","[[{u'position': u'Principal at Security Financial Online', u'industry': u'Investment Services', u'Main': u' 916-400-0403', u'name': u'Marlon Mendoza', u'location': u'Sacramento, California, United States'}]]",
